"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"fffff[A]","0.83793899340258","0.0531432786526602","15.7675441682715","2.16244819890722e-08"
"Fire Beat[A]","0.759325064802974","0.0491317749308091","15.4548673617493","2.62294107276633e-08"
"FIRE FIRE[A]","0.603428565227875","0.0550728406450284","10.9569173872339","6.83726841250803e-07"
"Flashes[A]","0.956865040618934","0.0452367027572272","21.1524046249383","1.24022034330735e-09"
"Flying Castle[A]","0.892476185298358","0.0330483165239256","27.0051935823189","1.12077032259257e-10"
"four pieces of heaven[L]","0.642500918288041","0.0516910261633462","12.4296413899331","2.09713443477123e-07"
"Friction[!]Function[A]","0.719481732200549","0.0615370524867133","11.6918458575164","3.7297272398962e-07"
"FUZIN RIZIN[A]","0.892025749738713","0.0448217359601657","19.9016332283846","2.25202863838461e-09"
"F[A]","0.724461256520416","0.0521734629508849","13.8856272048188","7.32430231377151e-08"
"G59[A]","0.902166299345656","0.0616595662713419","14.6314084561598","4.43955925676187e-08"
"GAIA[A]","0.828368485374691","0.0496460108175685","16.6854994335527","1.25155756701733e-08"
"Ganymede[L]","0.882685772039817","0.0279202561737211","31.6145298434121","2.35730378124654e-11"
"GENE[A]","0.93364908867238","0.0639721699397524","14.5946134006658","4.54806407185595e-08"
"gigadelic[A]","0.858501549138417","0.0274133152620998","31.3169545868586","2.58887502299488e-11"
"gigadelic[H]","0.745695813009383","0.0364733614063518","20.444943494556","1.73051353567389e-09"
"GiGaGaHell[A]","0.922304089939065","0.0490346262335849","18.809240750516","3.90747426702235e-09"
"glacia[A]","0.889732095087531","0.0331624244044142","26.8295250141331","1.19537993340836e-10"
"Go Ahead!![A]","0.811736620593358","0.0591555284378018","13.7220753838223","8.20105400919112e-08"
"Go Beyond!![A]","0.734552453277963","0.0608064924704252","12.0801648546861","2.74402515980452e-07"
"GO OVER WITH GLARE -ROOTAGE 26-[A]","0.900642730897315","0.0518892443633317","17.3570215166549","8.53762516521889e-09"
"Godspeed[A]","0.825228058001931","0.0563706956710928","14.6393094528566","4.41663189757478e-08"
